Course ID,Course Name,Unit,Level,Avg Star,Review Number,Result
Probability Theory: Foundation for Data Science,Probability Theory: Foundation for Data Science,University of Colorado Boulder,,4.5,156,"Explain why probability is important to statistics and data science.
See the relationship between conditional and independent events in a statistical experiment.
Calculate the expectation and variance of several random variables and develop some intuition."
Python for Genomic Data Science,Python for Genomic Data Science,Johns Hopkins University,,4.3,1690,"Johns Hopkins University
Algorithms for DNA Sequencing
Course
Johns Hopkins University
Command Line Tools for Genomic Data Science
Course
Johns Hopkins University
Bioconductor for Genomic Data Science
Course
Johns Hopkins University
Genomic Data Science
Specialization"
Practical Data Science with MATLAB Specialization,Practical Data Science with MATLAB Specialization,MathWorks,,4.8,892,"Analyze large datasets & calculate statistics on specific groups in the data
Use interactive tools to investigate your data & remove noise and outliers
Create & evaluate machine learning models
Create reports & interactive documents to share your work"
Introduction to R Programming for Data Science,Introduction to R Programming for Data Science,IBM,,4.5,426,"Manipulate primitive data types in the R programming language using RStudio or Jupyter Notebooks.
Control program flow with conditions and loops, write functions, perform character string operations, write regular expressions, handle errors. 
Construct and manipulate R data structures, including vectors, factors, lists, and data frames.
Read, write, and save data files and scrape web pages using R. "
Fundamentals of Scalable Data Science,Fundamentals of Scalable Data Science,IBM,,4.3,2054,"IBM
Advanced Data Science Capstone
Course
IBM
Advanced Machine Learning and Signal Processing
Course
Coursera Project Network
Machine Learning con Pyspark aplicado al campo sanitario
Guided Project
Coursera Project Network
ML y Big Data con PySpark para la retención de clientes
Guided Project"
Tidyverse Skills for Data Science in R Specialization,Tidyverse Skills for Data Science in R Specialization,Johns Hopkins University,,4.6,88,"Organize a data science project
Import data from common spreadsheet, database, and web-based formats
Wrangle and manipulate messy data and build tidy datasets
Build presentation quality data graphics
Build predictive machine learning models"
Command Line Tools for Genomic Data Science,Command Line Tools for Genomic Data Science,Johns Hopkins University,,4.0,544,"Johns Hopkins University
Bioconductor for Genomic Data Science
Course
Johns Hopkins University
Statistics for Genomic Data Science
Course
Johns Hopkins University
Python for Genomic Data Science
Course
Johns Hopkins University
Algorithms for DNA Sequencing
Course"
SQL for Data Science with R,SQL for Data Science with R,IBM,,4.3,126,"Create and access a database instance on the cloud
Compose and execute basic SQL statements - SELECT, INSERT, UPDATE, DELETE, CREATE, DROP
Construct SQL statements to filter, sort, group results, use built-in functions, compose nested queries, access multiple tables
Analyze data from Jupyter using R and SQL by combining SQL and R skills to query real-world datasets"
SQL for Data Science Capstone Project,SQL for Data Science Capstone Project,"University of California, Davis",,4.2,222,"Develop a project proposal and select your data
Perform descriptive statistics as part of your exploratory analysis
Develop metrics and perform advanced techniques in SQL
Present your findings and make recommendations"
Data Science Fundamentals for Data Analysts,Data Science Fundamentals for Data Analysts,Databricks,,4.2,53,"Apply foundational data science concepts and techniques to solve these real-world problems. 
Design, execute, assess, and communicate the results of your very own data science projects."
Statistics for Genomic Data Science,Statistics for Genomic Data Science,Johns Hopkins University,,4.2,354,"Johns Hopkins University
Algorithms for DNA Sequencing
Course
Johns Hopkins University
Bioconductor for Genomic Data Science
Course
Johns Hopkins University
Command Line Tools for Genomic Data Science
Course
Johns Hopkins University
Python for Genomic Data Science
Course"
Data Science Capstone,Data Science Capstone,Johns Hopkins University,,4.5,1224,"Create a useful data product for the public
Apply your exploratory data analysis skills
Build an efficient and accurate prediction model
Produce a presentation deck to showcase your findings"
Introduction to Clinical Data Science,Introduction to Clinical Data Science,University of Colorado System,,4.5,393,"Describe how each type of clinical data are generated, specifically outlining who creates the data, when and why the data are generated.
Write SQL code to combine two or more tables using database joins.
Write R code to manipulate and tidy data including: selecting columns, filtering rows, and joining data sets. 
Write markdown formatted text and combine with R code in RMarkdown documents."
Advanced Linear Models for Data Science 1: Least Squares,Advanced Linear Models for Data Science 1: Least Squares,Johns Hopkins University,,4.5,184,"Johns Hopkins University
Advanced Linear Models for Data Science 2: Statistical Linear Models
Course
Johns Hopkins University
Mathematical Biostatistics Boot Camp 1
Course
Johns Hopkins University
Measurement – Turning Concepts into Data
Course
Johns Hopkins University
Mathematical Biostatistics Boot Camp 2
Course"
Advanced Linear Models for Data Science 2: Statistical Linear Models,Advanced Linear Models for Data Science 2: Statistical Linear Models,Johns Hopkins University,,4.5,93,"Johns Hopkins University
Advanced Linear Models for Data Science 1: Least Squares
Course
Johns Hopkins University
Mathematical Biostatistics Boot Camp 2
Course
Howard University
Linear Algebra for Data Science Using Python
Specialization
Johns Hopkins University
Mathematical Biostatistics Boot Camp 1
Course"
"Intro to Analytic Thinking, Data Science, and Data Mining","Intro to Analytic Thinking, Data Science, and Data Mining","University of California, Irvine",,4.2,128,"The knowledge and skills needed to work in the data science profession
How data science is used to solve business problems
The benefits of using the cross-industry standard process for data mining (CRISP-DM)"
Data Science Project: MATLAB for the Real World,Data Science Project: MATLAB for the Real World,MathWorks,,4.8,24,"Apply a full data science workflow, including importing & cleaning data, creating features, training machine learning models, & evaluating results
Effectively communicate results by identifying your target audience & creating meaningful visualizations
Create a final report that includes text, code, & visualizations to share with colleagues"
Ethical Issues in Data Science,Ethical Issues in Data Science,University of Colorado Boulder,,4.7,32,"Learners will be able to Identify and manage ethical situations that may arise in their careers.
Learnerrs will be able to apply ethical frameworks to help them analyze ethical challenges.
Learners will be familiar with key applications of data science that are commonly  linked to ethical issues."
Address Business Issues with Data Science,Address Business Issues with Data Science,CertNexus,,4.4,21,"CertNexus
Analyze Data
Course
CertNexus
Train Machine Learning Models
Course
CertNexus
Extract, Transform, and Load Data
Course
University of California San Diego
Capstone: Analyzing (Social) Network Data
Course"
Communicating Data Science Results,Communicating Data Science Results,University of Washington,,3.4,142,"Coursera Project Network
Crea un Storyboard en Canva
Guided Project
Coursera Project Network
Как планировать посты в нескольких платформах с Hootsuite
Guided Project
Coursera Project Network
Créer un diagramme d’affinité avec Creately
Guided Project
Coursera Project Network
Premiers pas avec Studio de création Facebook
Guided Project"
Data Science at Scale - Capstone Project,Data Science at Scale - Capstone Project,University of Washington,,3.8,25,"Codio
SQL for Security Specialist
Course
Whizlabs
AWS: Security in Data Analytics
Course
Coursera Project Network
Deep Learning Inference with Azure ML Studio
Guided Project
Universidades Anáhuac
Análisis de datos empresariales con R
Course"
Data Analysis and Visualization Foundations Specialization,Data Analysis and Visualization Foundations Specialization,IBM,,4.8,2492,"Describe the data ecosystem, tasks a Data Analyst performs, as well as skills and tools required for successful data analysis
Explain basic functionality of spreadsheets and utilize Excel to perform a variety of data analysis tasks like data wrangling and data mining
List various types of charts and plots and create them in Excel as well as work with Cognos Analytics to generate interactive dashboards"
IBM & Darden Digital Strategy Specialization,IBM & Darden Digital Strategy Specialization,University of Virginia Darden School Foundation,,4.8,350,Understand the value of data and how the rapid growth of technologies such as artificial intelligence and cloud computing are transforming business. 
AI in Healthcare Specialization,AI in Healthcare Specialization,Stanford University,,4.7,1462,"Identify problems healthcare providers face that machine learning can solve
Analyze how AI affects patient care safety, quality, and research
Relate AI to the science, practice, and business of medicine
Apply the building blocks of AI to help you innovate and understand emerging technologies  "
Natural Language Processing Specialization,Natural Language Processing Specialization,DeepLearning.AI,,4.6,5393,"Use logistic regression, naïve Bayes, and word vectors to implement sentiment analysis, complete analogies & translate words.
Use dynamic programming, hidden Markov models, and word embeddings to implement autocorrect, autocomplete & identify part-of-speech tags for words.
Use recurrent neural networks, LSTMs, GRUs & Siamese networks in Trax for sentiment analysis, text generation & named entity recognition.
Use encoder-decoder, causal, & self-attention to machine translate complete sentences, summarize text, build chatbots & question-answering."
Ask Questions to Make Data-Driven Decisions,Ask Questions to Make Data-Driven Decisions,Google,,4.7,30670,"Explain how the problem-solving road map applies to typical analysis scenarios. 
Discuss the use of data in the decision-making process.
Demonstrate the use of spreadsheets to complete basic tasks of the data analyst including entering and organizing data.
Describe the key ideas associated with structured thinking."
Advanced Learning Algorithms,Advanced Learning Algorithms,DeepLearning.AI,,4.9,5261,"Build and train a neural network with TensorFlow to perform multi-class classification
Apply best practices for machine learning development so that your models generalize to data and tasks in the real world
Build and use decision trees and tree ensemble methods, including random forests and boosted trees"
Neural Networks and Deep Learning,Neural Networks and Deep Learning,DeepLearning.AI,,4.9,121019,"DeepLearning.AI
Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization
Course
DeepLearning.AI
Deep Learning
Make progress toward a degree
Specialization
DeepLearning.AI
Convolutional Neural Networks
Course
DeepLearning.AI
Sequence Models
Course"
Prepare Data for Exploration,Prepare Data for Exploration,Google,,4.8,19267,"Explain what factors to consider when making decisions about data collection.
Discuss the difference between biased and unbiased data.
Describe databases with references to their functions and components.
Describe best practices for organizing data."
AI Product Management Specialization,AI Product Management Specialization,Duke University,,4.7,454,"Identify when and how machine learning can applied to solve problems
Apply human-centered design practices to design AI product experiences that protect privacy and meet ethical standards
Lead machine learning projects using the data science process and best practices from industry"
Process Data from Dirty to Clean,Process Data from Dirty to Clean,Google,,4.8,14942,"Define different types of data integrity and identify risks to data integrity.
Apply basic SQL functions to clean string variables in a database.
Develop basic SQL queries for use on databases.
Describe the process of verifying data cleaning results."
Meta Data Analyst Professional Certificate,Meta Data Analyst Professional Certificate,Meta,,4.5,21,"Collect, clean, sort, evaluate, and visualize data
Apply the OSEMN, framework to guide the data analysis process, ensuring a comprehensive and structured approach to deriving actionable insights
Use statistical analysis, including hypothesis testing, regression analysis, and more, to make data-driven decisions
Develop an understanding of the foundational principles of effective data management and usability of data assets within organizational context"
Prompt Engineering for ChatGPT,Prompt Engineering for ChatGPT,Vanderbilt University,,4.8,2692,"How to apply prompt engineering to effectively work with large language models, like ChatGPT
How to use prompt patterns to tap into powerful capabilities within large language models
How to create complex prompt-based applications for your life, business, or education"
IBM Introduction to Machine Learning Specialization,IBM Introduction to Machine Learning Specialization,IBM,,4.7,313,"Understand the potential applications of machine learning
Gain technical skills like SQL, machine learning modelling, supervised and unsupervised learning, regression, and classification.
Identify opportunities to leverage machine learning in your organization or career
Communicate findings from your machine learning projects to experts and non-experts"
Analyze Data to Answer Questions,Analyze Data to Answer Questions,Google,,4.6,10485,"Discuss the importance of organizing your data before analysis by using sorts and filters.
Convert and format data.
Apply the use of functions and syntax to create SQL queries to combine data from multiple database tables.
Describe the use of functions to conduct basic calculations on data in spreadsheets."
"Unsupervised Learning, Recommenders, Reinforcement Learning","Unsupervised Learning, Recommenders, Reinforcement Learning",DeepLearning.AI,,4.9,2727,"Use unsupervised learning techniques for unsupervised learning: including clustering and anomaly detection
Build recommender systems with a collaborative filtering approach and a content-based deep learning method
Build a deep reinforcement learning model"
Generative Adversarial Networks (GANs) Specialization,Generative Adversarial Networks (GANs) Specialization,DeepLearning.AI,,4.7,2124,"Understand GAN components, build basic GANs using PyTorch and advanced DCGANs using convolutional layers, control your GAN and build conditional GAN
Compare generative models, use FID method to assess GAN fidelity and diversity, learn to detect bias in GAN, and implement StyleGAN techniques
Use GANs for data augmentation and privacy preservation, survey GANs applications, and examine and build Pix2Pix and CycleGAN for image translation"
AI for Medicine Specialization,AI for Medicine Specialization,DeepLearning.AI,,4.7,2096,"Diagnose diseases from x-rays and 3D MRI brain images
Predict patient survival rates more accurately using tree-based models
Estimate treatment effects on patients using data from randomized trials
Automate the task of labeling medical datasets using natural language processing"
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization","Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI,,4.9,62889,"DeepLearning.AI
Convolutional Neural Networks
Course
DeepLearning.AI
Structuring Machine Learning Projects
Course
DeepLearning.AI
Sequence Models
Course
DeepLearning.AI
Deep Learning
Make progress toward a degree
Specialization"
Microsoft Azure Data Engineering Associate (DP-203) Professional Certificate,Microsoft Azure Data Engineering Associate (DP-203) Professional Certificate,Microsoft,,4.3,842,"Resume review
Improve your resume and LinkedIn with personalized feedback
Interview prep
Practice your skills with interactive tools and mock interviews
Career support
Plan your career move with Coursera's job search guide"
Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate,Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate,Google Cloud,,4.6,6910,"Identify the purpose and value of the key Big Data and Machine Learning products in Google Cloud.
Employ BigQuery to carry out interactive data analysis.
Use Cloud SQL and Dataproc to migrate existing MySQL and Hadoop/Pig/Spark/Hive workloads to Google Cloud.
Choose between different data processing products on Google Cloud."
Share Data Through the Art of Visualization,Share Data Through the Art of Visualization,Google,,4.6,8447,"Describe the use of data visualizations to talk about data and the results of data analysis.
Identify Tableau as a data visualization tool and understand its uses.
Explain what data driven stories are including reference to their importance and their attributes.
Explain principles and practices associated with effective presentations."
OpenAI GPTs: Creating Your Own Custom AI Assistants,OpenAI GPTs: Creating Your Own Custom AI Assistants,Vanderbilt University,,5.0,38,"Vanderbilt University
GPT Vision: Seeing the World through Generative AI
Course
Vanderbilt University
Trustworthy Generative AI
Course
Amazon Web Services
Amazon Quantum Ledger Database (QLDB) Service Primer
Course
Vanderbilt University
Microsoft 365 Copilot: Personal Productivity for All
Course"
Foundations of Business Intelligence,Foundations of Business Intelligence,Google,,4.7,1006,"Understand common careers and industries that use BI
Investigate the impact data can have on business decision-making
Explain the important role that BI professionals have in businesses
Develop a BI project plan "
TensorFlow: Advanced Techniques Specialization,TensorFlow: Advanced Techniques Specialization,DeepLearning.AI,,4.8,1350,"Understand the underlying basis of the Functional API and build exotic non-sequential model types, custom loss functions, and layers.
Learn optimization and how to use GradientTape & Autograph, optimize training in different environments with multiple processors and chip types.
Practice object detection, image segmentation, and visual interpretation of convolutions.
Explore generative deep learning, and how AIs can create new content, from Style Transfer through Auto Encoding and VAEs to GANs."
Google Data Analytics Capstone: Complete a Case Study,Google Data Analytics Capstone: Complete a Case Study,Google,,4.8,14070,"Differentiate between a capstone project, case study, and a portfolio.
Identify the key features and attributes of a completed case study.
Apply the practices and procedures associated with the data analysis process to a given set of data.
Discuss the use of case studies/portfolios when communicating with recruiters and potential employers."
Geographic Information Systems (GIS) Specialization,Geographic Information Systems (GIS) Specialization,"University of California, Davis",,4.8,5807,"Create and work with raster data.
Develop and analyze data for the geospatial analysis project.
Develop a large processing workflow in ModelBuilder.
Interpret and explain the results you obtained in comparison to your original GIS question and/or hypothesis."
Sequence Models,Sequence Models,DeepLearning.AI,,4.8,29928,"DeepLearning.AI
Convolutional Neural Networks
Course
DeepLearning.AI
Structuring Machine Learning Projects
Course
DeepLearning.AI
Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization
Course
DeepLearning.AI
Natural Language Processing with Attention Models
Course"
Convolutional Neural Networks,Convolutional Neural Networks,DeepLearning.AI,,4.9,42094,"DeepLearning.AI
Sequence Models
Course
DeepLearning.AI
Structuring Machine Learning Projects
Course
DeepLearning.AI
Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization
Course
DeepLearning.AI
Browser-based Models with TensorFlow.js
Course"
Preparing Data for Analysis with Microsoft Excel,Preparing Data for Analysis with Microsoft Excel,Microsoft,,4.7,1783,"Microsoft
Harnessing the Power of Data with Power BI
Course
Microsoft
Extract, Transform and Load Data in Power BI
Course
Microsoft
Data Modeling in Power BI
Course
Microsoft
Data Analysis and Visualization with Power BI
Course"
Structuring Machine Learning Projects,Structuring Machine Learning Projects,DeepLearning.AI,,4.8,49694,"DeepLearning.AI
Convolutional Neural Networks
Course
DeepLearning.AI
Browser-based Models with TensorFlow.js
Course
DeepLearning.AI
Device-based Models with TensorFlow Lite
Course
DeepLearning.AI
Sequence Models
Course"
AI for Good Specialization,AI for Good Specialization,DeepLearning.AI,,4.8,210,"Master a step-by-step framework for the development of AI projects.
Explore real-world case studies related to public health, climate change, and disaster management.
Analyze data and build AI models for projects focused on air quality, wind energy, biodiversity monitoring, and disaster management."
Natural Language Processing with Classification and Vector Spaces,Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,,4.6,4294,"Use logistic regression, naïve Bayes, and word vectors to implement sentiment analysis, complete analogies & translate words."
Machine Learning with Python,Machine Learning with Python,IBM,,4.7,15432,"Describe the various types of Machine Learning algorithms and when to use them  
Compare and contrast linear classification methods including multiclass prediction, support vector machines, and logistic regression  
Write Python code that implements various classification techniques including K-Nearest neighbors (KNN), decision trees, and regression trees 
Evaluate the results from simple linear, non-linear, and multiple regression on a data set using evaluation metrics   "
Machine Learning for Trading Specialization,Machine Learning for Trading Specialization,Google Cloud,,3.9,1019,"Understand the structure and techniques used in machine learning, deep learning, and reinforcement learning (RL) strategies.
Describe the steps required to develop and test an ML-driven trading strategy.
Describe the methods used to optimize an ML-driven trading strategy.
Use Keras and Tensorflow to build machine learning models."
Introduction to Artificial Intelligence (AI),Introduction to Artificial Intelligence (AI),IBM,,4.7,12929,"Describe what is AI, its applications, use cases, and how it is transforming our lives
Explain terms like Machine Learning, Deep Learning and Neural Networks 
Describe several issues and ethical concerns surrounding AI
Articulate advice from experts about learning and starting a career in AI "
Generative AI: Introduction and Applications,Generative AI: Introduction and Applications,IBM,,4.6,470,"Describe generative AI and distinguish it from discriminative AI.
Describe the capabilities of generative AI and its use cases in the real world.
Identify the applications of generative AI in different sectors and industries.
Explore common generative AI models and tools for text, code, image, audio, and video generation."
Machine Learning Foundations for Product Managers,Machine Learning Foundations for Product Managers,Duke University,,4.6,383,"Duke University
Managing Machine Learning Projects
Course
Duke University
AI Product Management
Specialization
Duke University
Human Factors in AI
Course
Google Cloud
Building Batch Data Pipelines on GCP em Português Brasileiro
Course"
Microsoft Azure Developer Associate (AZ-204) Professional Certificate,Microsoft Azure Developer Associate (AZ-204) Professional Certificate,Microsoft,,4.6,146,"Resume review
Improve your resume and LinkedIn with personalized feedback
Interview prep
Practice your skills with interactive tools and mock interviews
Career support
Plan your career move with Coursera's job search guide"
Data Visualization and Dashboards with Excel and Cognos,Data Visualization and Dashboards with Excel and Cognos,IBM,,4.7,3470,"Create basic visualizations such as line graphs, bar graphs, and pie charts using Excel spreadsheets.
Explain the important role charts play in telling a data-driven story. 
Construct advanced charts and visualizations such as Treemaps, Sparklines, Histogram, Scatter Plots, and Filled Map Charts.
Build and share interactive dashboards using Excel and Cognos Analytics."
Data Analysis and Visualization with Power BI,Data Analysis and Visualization with Power BI,Microsoft,,4.7,214,"How to add visualizations to reports and dashboards. 
How to design accessible reports and dashboards.
How to use visualizations to perform data analysis. "
AI Applications in People Management,AI Applications in People Management,University of Pennsylvania,,4.7,142,"University of Pennsylvania
AI Strategy and Governance
Course
University of Pennsylvania
AI For Business
Specialization
Board Infinity
Generative AI in HR - Impact and Application of Gen AI
Course
University of Pennsylvania
AI Applications in Marketing and Finance
Course"
Data Visualization with Python,Data Visualization with Python,IBM,,4.5,11546,"Implement data visualization techniques and plots using Python libraries, such as Matplotlib, Seaborn, and Folium to tell a stimulating story
Create different types of charts and plots such as line, area, histograms, bar, pie, box, scatter, and bubble
Create advanced visualizations such as waffle charts, word clouds, regression plots, maps with markers, & choropleth maps
Generate interactive dashboards containing scatter, line, bar, bubble, pie, and sunburst charts using the Dash framework and Plotly library"
"Extract, Transform and Load Data in Power BI","Extract, Transform and Load Data in Power BI",Microsoft,,4.5,379,"How to set up a data source and explain and configure storage modes in Power BI.
How to prepare for data modeling by cleaning and transforming data.
How to use profiling tools to identify data anomalies.
How to reference queries and dataflows and use the Advanced Editor to modify code. "
Sports Performance Analytics Specialization,Sports Performance Analytics Specialization,University of Michigan,,4.5,205,"Understand how to construct predictive models to anticipate team and player performance.
Understand the science behind athlete performance and game prediction.
Engage in a practical way to apply their Python, statistics, or predictive modeling skills."
AI Strategy and Governance,AI Strategy and Governance,University of Pennsylvania,,4.8,138,"University of Pennsylvania
AI For Business
Specialization
University of Pennsylvania
AI Applications in Marketing and Finance
Course
University of Pennsylvania
AI Applications in People Management
Course
University of Pennsylvania
AI Fundamentals for Non-Data Scientists
Course"
Natural Language Processing with Probabilistic Models,Natural Language Processing with Probabilistic Models,DeepLearning.AI,,4.7,1663,"Use dynamic programming, hidden Markov models, and word embeddings to implement autocorrect, autocomplete & identify part-of-speech tags for words."
Convolutional Neural Networks in TensorFlow,Convolutional Neural Networks in TensorFlow,DeepLearning.AI,,4.7,8071,"Handle real-world image data
Plot loss and accuracy
Explore strategies to prevent overfitting, including augmentation and dropout
Learn transfer learning and how learned features can be extracted from models"
Introduction to Clinical Data,Introduction to Clinical Data,Stanford University,,4.7,294,"How to apply a framework for medical data mining
Ethical use of data in healthcare decisions
How to make use of data that may be inaccurate in systematic ways
What makes a good research question and how to construct a data mining workflow answer it"
AI for Medical Diagnosis,AI for Medical Diagnosis,DeepLearning.AI,,4.7,1922,"DeepLearning.AI
AI for Medical Prognosis
Course
DeepLearning.AI
AI for Medicine
Specialization
DeepLearning.AI
AI For Medical Treatment
Course
Coursera Project Network
Explainable Machine Learning with LIME and H2O in R
Guided Project"
Build Basic Generative Adversarial Networks (GANs),Build Basic Generative Adversarial Networks (GANs),DeepLearning.AI,,4.7,1882,"DeepLearning.AI
Build Better Generative Adversarial Networks (GANs)
Course
DeepLearning.AI
Apply Generative Adversarial Networks (GANs)
Course
DeepLearning.AI
Generative Adversarial Networks (GANs)
Specialization
Coursera Project Network
خطوط البيانات مع AWS: أنشئ خط بيانات في الوقت الفعلي
Guided Project"
Data Modeling in Power BI,Data Modeling in Power BI,Microsoft,,4.1,321,"How to form a model using a Star Schema.  
How to write calculations DAX to create elements and analysis in Power BI. 
How to optimize performance in a Power BI model.  "
TensorFlow: Data and Deployment Specialization,TensorFlow: Data and Deployment Specialization,DeepLearning.AI,,4.7,1338,"Run models in your browser using TensorFlow.js
Prepare and deploy models on mobile devices using TensorFlow Lite
Access, organize, and process training data more easily using TensorFlow Data Services
Explore four advanced deployment scenarios using TensorFlow Serving, TensorFlow Hub, and TensorBoard"
Mathematics for Machine Learning: Linear Algebra,Mathematics for Machine Learning: Linear Algebra,Imperial College London,,4.7,11968,"Imperial College London
Mathematics for Machine Learning: Multivariate Calculus
Course
Imperial College London
Mathematics for Machine Learning: PCA
Course
Imperial College London
Mathematics for Machine Learning
Specialization
DeepLearning.AI
Linear Algebra for Machine Learning and Data Science
Course"
Natural Language Processing in TensorFlow,Natural Language Processing in TensorFlow,DeepLearning.AI,,4.6,6424,"Build natural language processing systems using TensorFlow
Process text, including tokenization and representing sentences as vectors
Apply RNNs, GRUs, and LSTMs in TensorFlow
Train LSTMs on existing text to create original poetry and more"
Computational Social Science Specialization,Computational Social Science Specialization,"University of California, Davis",,4.7,549,"Discover how social networks and human dynamics create social systems and recognizable patterns
Define and discuss big data opportunities and limitations
Web scrape online data, create a social network visualization with it, and use machine learning to analyze its content  
Use computer simulations to program your own artificial societies to explore business strategies and policy options"
Microsoft Azure Data Fundamentals DP-900 Exam Prep Specialization,Microsoft Azure Data Fundamentals DP-900 Exam Prep Specialization,Microsoft,,4.6,543,"The fundamentals of database concepts in a cloud environment, basic skilling in cloud data services, and cloud data services within Microsoft Azure."
Natural Language Processing with Sequence Models,Natural Language Processing with Sequence Models,DeepLearning.AI,,4.5,1107,"Use recurrent neural networks, LSTMs, GRUs & Siamese networks in Trax for sentiment analysis, text generation & named entity recognition."
Natural Language Processing with Attention Models,Natural Language Processing with Attention Models,DeepLearning.AI,,4.4,982,"Use encoder-decoder, causal, & self-attention to machine translate complete sentences, summarize text, build chatbots & question-answering."
Fundamentals of Reinforcement Learning,Fundamentals of Reinforcement Learning,University of Alberta,,4.8,2721,"Formalize problems as Markov Decision Processes 
Understand basic exploration methods and the exploration / exploitation tradeoff
Understand value functions, as a general-purpose tool for optimal decision-making
Know how to implement dynamic programming as an efficient solution approach to an industrial control problem"
Evaluations of AI Applications in Healthcare,Evaluations of AI Applications in Healthcare,Stanford University,,4.6,206,"Principles and practical considerations for integrating AI into clinical workflows
Best practices of AI applications to promote fair and equitable healthcare solutions
Challenges of regulation of AI applications and which components of a model can be regulated
What standard evaluation metrics do and do not provide"
Trustworthy Generative AI,Trustworthy Generative AI,Vanderbilt University,,4.8,150,"What problems actually make sense to solve with Generative AI
How to frame problems and prompt engineer to produce more trustworthy results from Generative AI"
Introduction to Computer Vision and Image Processing,Introduction to Computer Vision and Image Processing,IBM,,4.3,1114,"Describe the applications of computer vision across different industries.
Apply image processing and analysis techniques to computer vision problems.
Utilize Python, Pillow, and OpenCV for basic image processing and perform image classification and object detection.
Create an image classifier using Supervised learning techniques."
Microsoft PL-300 Exam Preparation and Practice,Microsoft PL-300 Exam Preparation and Practice,Microsoft,,4.6,99,"How to prepare the data with Power BI.
How to Model the data in Power BI.
How to visualize and analyze the data with Power BI.
How to deploy and maintain Power BI assets."
Build Better Generative Adversarial Networks (GANs),Build Better Generative Adversarial Networks (GANs),DeepLearning.AI,,4.7,639,"DeepLearning.AI
Apply Generative Adversarial Networks (GANs)
Course
DeepLearning.AI
Build Basic Generative Adversarial Networks (GANs)
Course
DeepLearning.AI
Generative Deep Learning with TensorFlow
Course
University of Colorado Boulder
Mind and Machine
Specialization"
Design of Experiments Specialization,Design of Experiments Specialization,Arizona State University,,4.7,276,"Plan, design and conduct experiments efficiently and effectively, and analyze the resulting data to obtain valid objective conclusions.
Use response surface methods for system optimization as a follow-up to successful screening.
Use experimental design tools for computer experiments, both deterministic and stochastic computer models.
Use software tools to create custom designs based on optimal design methodology for situations where standard designs are not easily applicable."
IBM Data Analyst Capstone Project,IBM Data Analyst Capstone Project,IBM,,4.6,1060,"Apply different techniques to collect and wrangle data
Showcase your Data Analysis and Visualization skills 
Create a data analysis report and a compelling presentation
Demonstrate proficiency with various Python Libraries"
"Introduction to Trading, Machine Learning & GCP","Introduction to Trading, Machine Learning & GCP",Google Cloud,,4.0,815,"Understand the fundamentals of trading, including the concepts of trend, returns, stop-loss, and volatility.
Define quantitative trading and the main types of quantitative trading strategies.
Understand the basic steps in exchange arbitrage, statistical arbitrage, and index arbitrage.
Understand the application of machine learning to financial use cases."
AI and Public Health,AI and Public Health,DeepLearning.AI,,4.7,155,"DeepLearning.AI
AI and Disaster Management
Course
DeepLearning.AI
AI and Climate Change
Course
DeepLearning.AI
AI for Good
Specialization
Google Cloud
Introduction to AI and Machine Learning on GC - 简体中文
Course"
Creative Designing in Power BI,Creative Designing in Power BI,Microsoft,,4.4,97,"How to create compelling and cohesive reports and dashboards. 
How to work in detail with specialist chart visualizations.
How to add elements such as videos, streaming data and QR codes to dashboards."
Supply Chain Management and Analytics,Supply Chain Management and Analytics,Unilever,,4.8,47,"Unilever
Using Data Analytics in Supply Chain
Course
Unilever
Implementing Supply Chain Analytics
Course
Unilever
Supply Chain Software Tools
Course
Unilever
Unilever Supply Chain Data Analyst
Professional Certificate"
AI for Medical Prognosis,AI for Medical Prognosis,DeepLearning.AI,,4.7,758,"Walk through examples of prognostic tasks
Apply tree-based models to estimate patient survival rates
Navigate practical challenges in medicine like missing data  "
Introduction to Deep Learning & Neural Networks with Keras,Introduction to Deep Learning & Neural Networks with Keras,IBM,,4.7,1486,"IBM
Building Deep Learning Models with TensorFlow
Course
IBM
Introduction to Computer Vision and Image Processing
Course
IBM
AI Capstone Project with Deep Learning
Course
IBM
Deep Neural Networks with PyTorch
Course"
Problem Solving with Excel,Problem Solving with Excel,PwC,,4.7,5271,"PwC
Data Analysis and Presentation Skills: the PwC Approach
Specialization
PwC
Data Visualization with Advanced Excel
Course
PwC
Data-driven Decision Making
Course
PwC
Effective Business Presentations with Powerpoint
Course"
Recommender Systems Specialization,Recommender Systems Specialization,University of Minnesota,,4.4,698,"Build recommendation systems
Implement collaborative filtering
Master spreadsheet based tools
Use project-association recommenders"
SAS Advanced Programmer Professional Certificate,SAS Advanced Programmer Professional Certificate,SAS,,4.8,305,"Process data using Structured Query Language in the SAS environment    
Use the SAS macro facility to design, write, and debug dynamic macro programs  
Use advanced DATA step techniques and procedures to manipulate data    "
